Title,Company,Date Posted,Salary,Description,URL
Backdoor Agent - MS Chtoura,Mike Sport,2025-10-03,N/A,"Department:
Retail
Job Status:
Full Timer
Working Hours:
Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.
Location:
Chtoura
SCOPE OF THE JOB:
The Backdoor Agent is responsible for receiving, inspecting, storing and issuing merchandise for use in the store. He/ She will also be responsible for ensuring an ongoing & punctual replenishment process at the store.
  KEY RESPONSIBILITIES:
Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.
Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.
Receive merchandize, count it physically and electronically in order to ensure accuracy of information and inspect its quality to report discrepancies.
Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.
Organize the stockroom related to the store to conserve high level of stock replenishment.
Classify, store and tag items in the warehouse on a daily basis as per store procedures and items' characteristics, in order to ensure timely finding and release of products.
Participate in the inventory of products and report the end-of-day inventory status to Store Manager.
Perform other duties that are aligned & related to the job scope.
JOB REQUIREMENTS:
Education:  High School Degree
Experience:  0 to 1 year of experience in the sales field.
Linguistic Skills: Advanced in English & Arabic, French is a plus.
Computer Skills: Good knowledge in Ms. Office.",https://huntinglebanese.com/en/careers/jobs/show/13066/backdoor-agent-ms-chtoura
Backdoor Agent - MS Mastita,Mike Sport,2025-10-03,N/A,"Department:
Retail
Job Status:
Full Timer
Working Hours:
Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.
Location:
Mastita
SCOPE OF THE JOB:
The Backdoor Agent is responsible for receiving, inspecting, storing and issuing merchandise for use in the store. He/ She will also be responsible for ensuring an ongoing & punctual replenishment process at the store.
  KEY RESPONSIBILITIES:
Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.
Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.
Receive merchandize, count it physically and electronically in order to ensure accuracy of information and inspect its quality to report discrepancies.
Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.
Organize the stockroom related to the store to conserve high level of stock replenishment.
Classify, store and tag items in the warehouse on a daily basis as per store procedures and items' characteristics, in order to ensure timely finding and release of products.
Participate in the inventory of products and report the end-of-day inventory status to Store Manager.
Perform other duties that are aligned & related to the job scope.
JOB REQUIREMENTS:
Education:  High School Degree
Experience:  0 to 1 year of experience in the sales field.
Linguistic Skills: Advanced in English & Arabic, French is a plus.
Computer Skills: Good knowledge in Ms. Office.",https://huntinglebanese.com/en/careers/jobs/show/13064/backdoor-agent-ms-mastita
Cashier - MS Mastita,Mike Sport,2025-10-03,N/A,"Department:
Retail
Job Status:
Full Timer
Working Hours:
Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.
Location:
Mastita
SCOPE OF THE JOB:
The Cashier is responsible for handling the cash register systems and sales transactions. He/she greets, assists and serves customers on the store floor at all points in the shopping experience in order to ensure the provision of the highest standards of customer service and the achievement of maximum sales.
KEY RESPONSIBILITIES:
Maintain the cleanliness and tidiness of the cash desk (including invoice folder when applicable) and ensure that consumable materials (such as bags, rolls, etc.) are replenished throughout the day and marketing/communication tools are properly displayed.
Prepare cash money, electronic cards slips & discounts, etc. at the end of day and submit them in compliance with company policies and security standards and report cash discrepancies.
Deliver a high standard customer service, provide clients with the necessary support, promote gift cards, up-sell and cross-sell products and services.
Ensure cash policies and procedures are applied duly and accurately.
Handle alteration, gift wrapping, laundry and reservation requests, fill all related slips and log books as well as check alteration, reservation items at store opening to ensure their conformity to the set procedures.
Perform accurate Stock Rotation in/out of items (to/from stores and warehouse) under the supervision of the manager on duty.
Assist in ensuring a smooth and efficient receiving, returning & exchanging process of items /shipments (including defective items), as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.
Ensure that all legal Policies & Procedures are well placed at all premises & accessible for the customers.
Participate in the inventory of products and report the end-of-day inventory status to Store Manager.
Perform other duties that are aligned & related to the job scope.
JOB REQUIREMENTS:
Education:  High School Degree
Experience:  0 to 1 year of experience in the same field.
Linguistic Skills: Advanced in English & Arabic, French is a plus.
Computer Skills: Proficiency in Ms. Office; POS knowledge is a plus.",https://huntinglebanese.com/en/careers/jobs/show/13062/cashier-ms-mastita
Cashier - MS Verdun,Mike Sport,2025-10-03,N/A,"Department:
Retail
Job Status:
Full Timer
Working Hours:
Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.
Location:
Verdun
SCOPE OF THE JOB:
The Cashier is responsible for handling the cash register systems and sales transactions. He/she greets, assists and serves customers on the store floor at all points in the shopping experience in order to ensure the provision of the highest standards of customer service and the achievement of maximum sales.
KEY RESPONSIBILITIES:
Maintain the cleanliness and tidiness of the cash desk (including invoice folder when applicable) and ensure that consumable materials (such as bags, rolls, etc.) are replenished throughout the day and marketing/communication tools are properly displayed.
Prepare cash money, electronic cards slips & discounts, etc. at the end of day and submit them in compliance with company policies and security standards and report cash discrepancies.
Deliver a high standard customer service, provide clients with the necessary support, promote gift cards, up-sell and cross-sell products and services.
Ensure cash policies and procedures are applied duly and accurately.
Handle alteration, gift wrapping, laundry and reservation requests, fill all related slips and log books as well as check alteration, reservation items at store opening to ensure their conformity to the set procedures.
Perform accurate Stock Rotation in/out of items (to/from stores and warehouse) under the supervision of the manager on duty.
Assist in ensuring a smooth and efficient receiving, returning & exchanging process of items /shipments (including defective items), as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.
Ensure that all legal Policies & Procedures are well placed at all premises & accessible for the customers.
Participate in the inventory of products and report the end-of-day inventory status to Store Manager.
Perform other duties that are aligned & related to the job scope.
JOB REQUIREMENTS:
Education:  High School Degree
Experience:  0 to 1 year of experience in the same field.
Linguistic Skills: Advanced in English & Arabic, French is a plus.
Computer Skills: Proficiency in Ms. Office; POS knowledge is a plus.",https://huntinglebanese.com/en/careers/jobs/show/13060/cashier-ms-verdun
Cashier - MS Zalka,Mike Sport,2025-10-03,N/A,"Department:
Retail
Job Status:
Full Timer
Working Hours:
Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.
Location:
Zalka
SCOPE OF THE JOB:
The Cashier is responsible for handling the cash register systems and sales transactions. He/she greets, assists and serves customers on the store floor at all points in the shopping experience in order to ensure the provision of the highest standards of customer service and the achievement of maximum sales.
KEY RESPONSIBILITIES:
Maintain the cleanliness and tidiness of the cash desk (including invoice folder when applicable) and ensure that consumable materials (such as bags, rolls, etc.) are replenished throughout the day and marketing/communication tools are properly displayed.
Prepare cash money, electronic cards slips & discounts, etc. at the end of day and submit them in compliance with company policies and security standards and report cash discrepancies.
Deliver a high standard customer service, provide clients with the necessary support, promote gift cards, up-sell and cross-sell products and services.
Ensure cash policies and procedures are applied duly and accurately.
Handle alteration, gift wrapping, laundry and reservation requests, fill all related slips and log books as well as check alteration, reservation items at store opening to ensure their conformity to the set procedures.
Perform accurate Stock Rotation in/out of items (to/from stores and warehouse) under the supervision of the manager on duty.
Assist in ensuring a smooth and efficient receiving, returning & exchanging process of items /shipments (including defective items), as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.
Ensure that all legal Policies & Procedures are well placed at all premises & accessible for the customers.
Participate in the inventory of products and report the end-of-day inventory status to Store Manager.
Perform other duties that are aligned & related to the job scope.
JOB REQUIREMENTS:
Education:  High School Degree
Experience:  0 to 1 year of experience in the same field.
Linguistic Skills: Advanced in English & Arabic, French is a plus.
Computer Skills: Proficiency in Ms. Office; POS knowledge is a plus.",https://huntinglebanese.com/en/careers/jobs/show/13058/cashier-ms-zalka
Sales Representative - MS Outlet Zalka,Mike Sport,2025-10-03,N/A,"Department:
Retail
Job Status:
Full Timer
Working Hours:
Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.
Location:
Zalka
SCOPE OF THE JOB:
The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results.
KEY RESPONSIBILITIES:
Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.
Provide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers’ requests.
Ensure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.
Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.
Organize the stockroom related to the store to conserve high level of stock replenishment.
Handle pricing (& Change of prices) process in an effective and accurate manner as required.
Perform a smooth and efficient receiving process of items & shipments, as well as stock keeping preventing security risks and thefts by performing periodical inventories.
Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.
Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterations.
Participate in the inventory of products and report the end-of-day inventory status to Store Manager.
Perform other duties that are aligned & related to the job scope.
         JOB REQUIREMENTS:
Education:  High School Degree
Experience:  0 to 1 year of experience in the sales field.
Linguistic Skills: Advanced in English & Arabic, French is a plus.
Computer Skills: Good knowledge in Ms. Office.",https://huntinglebanese.com/en/careers/jobs/show/13056/sales-representative-ms-outlet-zalka
Sales Representative - MS Outlet Tripoli,Mike Sport,2025-10-03,N/A,"Department:
Retail
Job Status:
Full Timer
Working Hours:
Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.
Location:
Tripoli
SCOPE OF THE JOB:
The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results.
KEY RESPONSIBILITIES:
Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.
Provide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers’ requests.
Ensure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.
Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.
Organize the stockroom related to the store to conserve high level of stock replenishment.
Handle pricing (& Change of prices) process in an effective and accurate manner as required.
Perform a smooth and efficient receiving process of items & shipments, as well as stock keeping preventing security risks and thefts by performing periodical inventories.
Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.
Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterations.
Participate in the inventory of products and report the end-of-day inventory status to Store Manager.
Perform other duties that are aligned & related to the job scope.
         JOB REQUIREMENTS:
Education:  High School Degree
Experience:  0 to 1 year of experience in the sales field.
Linguistic Skills: Advanced in English & Arabic, French is a plus.
Computer Skills: Good knowledge in Ms. Office.",https://huntinglebanese.com/en/careers/jobs/show/13054/sales-representative-ms-outlet-tripoli
Sales Representative - MS Metro,Mike Sport,2025-10-03,N/A,"Department:
Retail
Job Status:
Full Timer
Working Hours:
Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.
Location:
Metro
SCOPE OF THE JOB:
The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results.
KEY RESPONSIBILITIES:
Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.
Provide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers’ requests.
Ensure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.
Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.
Organize the stockroom related to the store to conserve high level of stock replenishment.
Handle pricing (& Change of prices) process in an effective and accurate manner as required.
Perform a smooth and efficient receiving process of items & shipments, as well as stock keeping preventing security risks and thefts by performing periodical inventories.
Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.
Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterations.
Participate in the inventory of products and report the end-of-day inventory status to Store Manager.
Perform other duties that are aligned & related to the job scope.
         JOB REQUIREMENTS:
Education:  High School Degree
Experience:  0 to 1 year of experience in the sales field.
Linguistic Skills: Advanced in English & Arabic, French is a plus.
Computer Skills: Good knowledge in Ms. Office.",https://huntinglebanese.com/en/careers/jobs/show/13052/sales-representative-ms-metro
Outdoor Sales Person,N/A,2025-10-02,1500,Able to start immediately min 1 year experience in sales Able to call and meet clients Company Head Office Jbeil Motorized  High Commission + Bonus,https://huntinglebanese.com/en/careers/jobs/show/13040/outdoor-sales-person
Purchasing Supervisor,N/A,2025-10-02,N/A,"MAIN DUTIES:
Supervise the daily activities of the Procurement Department
Prioritize tasks and activities for the Procurement team, review and motivate performance
Prepare annual budget
Plan, organize, direct and control all procurement activities to ensure that the highest quality products are purchased at the best price
Work closely with head of departments to make sure that all necessary products, supplies and materials are received
Review purchasing orders and contracts
Coordinate with the Accounting Department on the price of materials purchased, terms of payment, method of payment, and insurance fees",https://huntinglebanese.com/en/careers/jobs/show/13038/purchasing-supervisor
CRM Specialist,N/A,2025-10-02,1600-1800,"the candidate should have a minimum of 3 years of experience 
Customer oriented 
Excellent Communication skills",https://huntinglebanese.com/en/careers/jobs/show/13036/crm-specialist
Maintenance Manager,N/A,2025-09-30,N/A,"Minimum of 5 years of experience as maintenance manager
Experience in planning maintenance operations
Good knowledge of technical aspects of plumbing, carpentry, electrical systems
Good knowledge of facilities machines and equipment
Ability to keep track of and report on activity
Excellent communication and interpersonal skills",https://huntinglebanese.com/en/careers/jobs/show/13034/maintenance-manager
Mystery Shopper - Urgently Required,N/A,2025-09-30,N/A,excellent communication skills self confident good analytical skills good knowledge in excel have a car cover beirut and mount lebanon previous similar experience is a plus,https://huntinglebanese.com/en/careers/jobs/show/13032/mystery-shopper-urgently-required
Executive assistant,N/A,2025-09-30,N/A,"Provides high-level administrative support to an executive, managing schedules, coordinating meetings, preparing reports.
Minimum of 5 years of experience as executive assistant
MBA is a plus
Excellent in english",https://huntinglebanese.com/en/careers/jobs/show/13030/executive-assistant
Branch Manager,N/A,2025-09-30,N/A,"Recruiting,training and supervising staff 
ensuring compliance with hygiene, health and safety
promoting and marketing the business",https://huntinglebanese.com/en/careers/jobs/show/13028/branch-manager
Administrative Coordinator,N/A,2025-09-29,Negotiable,"Required Admin person
Min 1 year experience in administrative position
Good in English
Able to handle phone calls",https://huntinglebanese.com/en/careers/jobs/show/13026/administrative-coordinator
Quality Controller,N/A,2025-09-29,N/A,Quality Controller is required with previous experience in quality & food safety management system,https://huntinglebanese.com/en/careers/jobs/show/13024/quality-controller
Social Media Specialist,N/A,2025-09-29,N/A,Min 2 years of experience,https://huntinglebanese.com/en/careers/jobs/show/13022/social-media-specialist
Warehouse Stock Keeper,N/A,2025-09-29,N/A,"Handles inventory physical count of raw material and finished products
Data entry of stock
Requirements:
2 years of relevant experience in stock control
Bachelor's degree is a plus
Computer literate
Good English communication
Hard worker",https://huntinglebanese.com/en/careers/jobs/show/13020/warehouse-stock-keeper
Junior Accountant,N/A,2025-09-29,N/A,"Female Accountant is needed for a company in Sin El Fil, good knowledge of PIMS software, min 1 year of experience",https://huntinglebanese.com/en/careers/jobs/show/13018/junior-accountant
Truck fleet Manager,ANTRANIK BALJIAN & SONS,2025-09-24,Negotiable,"Truck Fleet Manager with experience in overseeing distribution operations and managing a fleet of vehicles. Skilled in route planning, maintenance scheduling, and ensuring timely deliveries. Strong in coordinating drivers and ensuring compliance with safety regulations. Focused on optimizing fleet efficiency and reducing operational costs.",https://huntinglebanese.com/en/careers/jobs/show/13010/truck-fleet-manager
Dynamic Outdoor Salesman,Antranik Baljian & Sons,2025-09-24,N/A,"We're Looking for a dynamic sales professional with minimum 3 years of experience in lebanese market.
knowledge of sign materials is a plus 
Applicant must be motorized ( have a car )",https://huntinglebanese.com/en/careers/jobs/show/13008/dynamic-outdoor-salesman
Sales Representative - MS ABC Dbayeh,Mike Sport,2025-09-24,N/A,"Department:
Retail
Job Status:
Full Timer
Working Hours:
Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.
Location:
ABC Dbayeh
SCOPE OF THE JOB:
The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results.
KEY RESPONSIBILITIES:
Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.
Provide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers’ requests.
Ensure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.
Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.
Organize the stockroom related to the store to conserve high level of stock replenishment.
Handle pricing (& Change of prices) process in an effective and accurate manner as required.
Perform a smooth and efficient receiving process of items & shipments, as well as stock keeping preventing security risks and thefts by performing periodical inventories.
Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.
Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterations.
Participate in the inventory of products and report the end-of-day inventory status to Store Manager.
Perform other duties that are aligned & related to the job scope.
         JOB REQUIREMENTS:
Education:  High School Degree
Experience:  0 to 1 year of experience in the sales field.
Linguistic Skills: Advanced in English & Arabic, French is a plus.
Computer Skills: Good knowledge in Ms. Office.",https://huntinglebanese.com/en/careers/jobs/show/13004/sales-representative-ms-abc-dbayeh
Cashier - MS Outlet Zalka,Mike Sport,2025-09-24,N/A,"Department:
Retail
Job Status:
Full Timer
Working Hours:
Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.
Location:
Outlet Zalka
SCOPE OF THE JOB:
The Cashier is responsible for handling the cash register systems and sales transactions. He/she greets, assists and serves customers on the store floor at all points in the shopping experience in order to ensure the provision of the highest standards of customer service and the achievement of maximum sales.
KEY RESPONSIBILITIES:
Maintain the cleanliness and tidiness of the cash desk (including invoice folder when applicable) and ensure that consumable materials (such as bags, rolls, etc.) are replenished throughout the day and marketing/communication tools are properly displayed.
Prepare cash money, electronic cards slips & discounts, etc. at the end of day and submit them in compliance with company policies and security standards and report cash discrepancies.
Deliver a high standard customer service, provide clients with the necessary support, promote gift cards, up-sell and cross-sell products and services.
Ensure cash policies and procedures are applied duly and accurately.
Handle alteration, gift wrapping, laundry and reservation requests, fill all related slips and log books as well as check alteration, reservation items at store opening to ensure their conformity to the set procedures.
Perform accurate Stock Rotation in/out of items (to/from stores and warehouse) under the supervision of the manager on duty.
Assist in ensuring a smooth and efficient receiving, returning & exchanging process of items /shipments (including defective items), as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.
Ensure that all legal Policies & Procedures are well placed at all premises & accessible for the customers.
Participate in the inventory of products and report the end-of-day inventory status to Store Manager.
Perform other duties that are aligned & related to the job scope.
JOB REQUIREMENTS:
Education:  High School Degree
Experience:  0 to 1 year of experience in the same field.
Linguistic Skills: Advanced in English & Arabic, French is a plus.
Computer Skills: Proficiency in Ms. Office; POS knowledge is a plus.",https://huntinglebanese.com/en/careers/jobs/show/13002/cashier-ms-outlet-zalka
Driver,N/A,2025-09-24,N/A,70/031680 مطلوب سائق لشركة لديه دفتر عمومي ودفتر موتو,https://huntinglebanese.com/en/careers/jobs/show/13000/driver
Cashier - MS Zalka,Mike Sport,2025-09-23,N/A,"Department:
Retail
Job Status:
Full Timer
Working Hours:
Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.
Location:
Zalka
SCOPE OF THE JOB:
The Cashier is responsible for handling the cash register systems and sales transactions. He/she greets, assists and serves customers on the store floor at all points in the shopping experience in order to ensure the provision of the highest standards of customer service and the achievement of maximum sales.
KEY RESPONSIBILITIES:
Maintain the cleanliness and tidiness of the cash desk (including invoice folder when applicable) and ensure that consumable materials (such as bags, rolls, etc.) are replenished throughout the day and marketing/communication tools are properly displayed.
Prepare cash money, electronic cards slips & discounts, etc. at the end of day and submit them in compliance with company policies and security standards and report cash discrepancies.
Deliver a high standard customer service, provide clients with the necessary support, promote gift cards, up-sell and cross-sell products and services.
Ensure cash policies and procedures are applied duly and accurately.
Handle alteration, gift wrapping, laundry and reservation requests, fill all related slips and log books as well as check alteration, reservation items at store opening to ensure their conformity to the set procedures.
Perform accurate Stock Rotation in/out of items (to/from stores and warehouse) under the supervision of the manager on duty.
Assist in ensuring a smooth and efficient receiving, returning & exchanging process of items /shipments (including defective items), as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.
Ensure that all legal Policies & Procedures are well placed at all premises & accessible for the customers.
Participate in the inventory of products and report the end-of-day inventory status to Store Manager.
Perform other duties that are aligned & related to the job scope.
JOB REQUIREMENTS:
Education:  High School Degree
Experience:  0 to 1 year of experience in the same field.
Linguistic Skills: Advanced in English & Arabic, French is a plus.
Computer Skills: Proficiency in Ms. Office; POS knowledge is a plus.",https://huntinglebanese.com/en/careers/jobs/show/12998/cashier-ms-zalka
Indoor Sales Executive,ANTRANIK BALJIAN & SONS,2025-09-22,Negotiable,"Experienced Indoor Sales professional with over 3 years of hands-on expertise in handling sales operations, including preparing invoices, processing receipts, and managing client follow-up calls. Strong communication and organizational skills with a proven ability to support sales teams, maintain customer relationships, and ensure timely payment follow-ups.
FOR COMPANY LOCATED IN BAWCHRIYEH",https://huntinglebanese.com/en/careers/jobs/show/12994/indoor-sales-executive
Branch Manager,N/A,2025-09-22,N/A,"Recruiting,training and supervising staff 
ensuring compliance with hygiene, health and safety
promoting and marketing the business",https://huntinglebanese.com/en/careers/jobs/show/12992/branch-manager
HR Administrator - Adidas Franchise Unit,Mike Sport,2025-09-16,N/A,"Department:
Adidas Franchise Unit | HR Unit
Job Status:
Full Timer
Working Hours:
Monday till Friday from 9:00 am till 6:00 pm
Location:
Head Office – Zalka
SCOPE OF THE JOB:
The HR Administrator is responsible for administering the HR Operations of adidas stores located in Romania, Bulgaria, and Cyprus. He/ She is also responsible for ensuring that adidas international regulations are applied and respected, while providing high quality of HR services.
  KEY RESPONSIBILITIES:
  Employee Relations:
Maintain & update a proper HR Database Management.
Combine and summarize HR data, as well as draft various documents in order to support specific HR activities.
Review incoming mail/calls and redirect them accordingly.
Receive, control and process employee’s weekly schedules.
Handle the on-boarding & off-boarding cycles of all employees, and communicate their employment status with concerned parties.
Receive, control and process al type of leaves.
Check annual and sick leave entitlements and balance for each employee, ensure annual leaves are cleared within timelines set by company policy.
Ensure delivery of accurate reports upon request, such as Employment Certificates, Attestations & Warning Letters.
Recruitment:
Handle job post on different platforms and support in screening and sourcing talents through a variety of communication channels.
Document processes and update databases and Applicant Tracking system.
Share exit interviews with leavers; generate and analyze reports related to separations.
Support in drafting Job Descriptions, Processes, Policies & procedures related to HR functions.
Compensation & Benefits:
Assisting in the processing of payroll reports, ensuring that all transactions (including attendance, changes, deductions and other) are added accurately; review and approve relevant reports before confirming them to management for payment.
Conduct monthly checkups on medical statuses, and follow up on their yearly medical documents.
Ensure employees are getting all granted benefits on time, and related documentation are being prepared & updated. (Insurance & occupational health, meal tickets, uniform, employees discount, etc.)
Reporting:
Support and issue monthly reports related to different HR metrics such as salaries contribution, employees’ turnover, probationary success, disciplinary actions, promotional rates and employee satisfaction survey; generate and analyze related reports and suggest action plans accordingly.
Perform other duties that are aligned & related to the job scope.
JOB REQUIREMENTS:
Education:  Bachelor’s Degree in Human Resources or Business Administration or equivalent technical degree (TS)
Experience:  1-2 year of experience in a similar field.
Linguistic Skills: Advanced in written & spoken English & Arabic, French is a plus.
Computer Skills: Good knowledge in Ms. Office.",https://huntinglebanese.com/en/careers/jobs/show/12972/hr-administrator-adidas-franchise-unit
