title,link,country,name,description,category,employment_type,job_type,date_posted,salary
Cashier - MS Zalka,https://huntinglebanese.com//en/careers/jobs/show/12952/cashier-ms-zalka,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.Location:ZalkaSCOPE OF THE JOB:The Cashier is responsible for handling the cash register systems and sales transactions. He/she greets, assists and serves customers on the store floor at all points in the shopping experience in order to ensure the provision of the highest standards of customer service and the achievement of maximum sales.KEY RESPONSIBILITIES:Maintain the cleanliness and tidiness of the cash desk (including invoice folder when applicable) and ensure that consumable materials (such as bags, rolls, etc.) are replenished throughout the day and marketing/communication tools are properly displayed.Prepare cash money, electronic cards slips & discounts, etc. at the end of day and submit them in compliance with company policies and security standards and report cash discrepancies.Deliver a high standard customer service, provide clients with the necessary support, promote gift cards, up-sell and cross-sell products and services.Ensure cash policies and procedures are applied duly and accurately.Handle alteration, gift wrapping, laundry and reservation requests, fill all related slips and log books as well as check alteration, reservation items at store opening to ensure their conformity to the set procedures.Perform accurate Stock Rotation in/out of items (to/from stores and warehouse) under the supervision of the manager on duty.Assist in ensuring a smooth and efficient receiving, returning & exchanging process of items /shipments (including defective items), as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.Ensure that all legal Policies & Procedures are well placed at all premises & accessible for the customers.Participate in the inventory of products and report the end-of-day inventory status to Store Manager.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High School DegreeExperience:0 to 1 year of experience in the same field.Linguistic Skills:Advanced in English & Arabic, French is a plus.Computer Skills:Proficiency in Ms. Office; POS knowledge is a plus. Department: Retail Job Status: Full Timer Working Hours: Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays. Location: Zalka SCOPE OF THE JOB: The Cashier is responsible for handling the cash register systems and sales transactions. He/she greets, assists and serves customers on the store floor at all points in the shopping experience in order to ensure the provision of the highest standards of customer service and the achievement of maximum sales. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-09-11,
Backdoor Agent - MS Mastita,https://huntinglebanese.com//en/careers/jobs/show/12950/backdoor-agent-ms-mastita,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.Location:MastitaSCOPE OF THE JOB:The Backdoor Agent is responsible for receiving, inspecting, storing and issuing merchandise for use in the store. He/ She will also be responsible for ensuring an ongoing & punctual replenishment process at the store.KEY RESPONSIBILITIES:Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.Receive merchandize, count it physically and electronically in order to ensure accuracy of information and inspect its quality to report discrepancies.Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.Organize the stockroom related to the store to conserve high level of stock replenishment.Classify, store and tag items in the warehouse on a daily basis as per store procedures and items' characteristics, in order to ensure timely finding and release of products.Participate in the inventory of products and report the end-of-day inventory status to Store Manager.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High School DegreeExperience:0 to 1 year of experience in the sales field.Linguistic Skills:Advanced in English & Arabic, French is a plus.Computer Skills:Good knowledge in Ms. Office. Department: Retail Job Status: Full Timer Working Hours: Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays. Location: Mastita SCOPE OF THE JOB: The Backdoor Agent is responsible for receiving, inspecting, storing and issuing merchandise for use in the store. He/ She will also be responsible for ensuring an ongoing & punctual replenishment process at the store. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-09-11,
Sales Representative - MS Tyre,https://huntinglebanese.com//en/careers/jobs/show/12948/sales-representative-ms-tyre,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.Location:TyreSCOPE OF THE JOB:The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results.KEY RESPONSIBILITIES:Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.Provide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers’ requests.Ensure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.Organize the stockroom related to the store to conserve high level of stock replenishment.Handle pricing (& Change of prices) process in an effective and accurate manner as required.Perform a smooth and efficient receiving process of items & shipments, as well as stock keeping preventing security risks and thefts by performing periodical inventories.Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterations.Participate in the inventory of products and report the end-of-day inventory status to Store Manager.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High School DegreeExperience:0 to 1 year of experience in the sales field.Linguistic Skills:Advanced in English & Arabic, French is a plus.Computer Skills:Good knowledge in Ms. Office. Department: Retail Job Status: Full Timer Working Hours: Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays. Location: Tyre SCOPE OF THE JOB: The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-09-11,
Sales Representative - MS Mastita,https://huntinglebanese.com//en/careers/jobs/show/12946/sales-representative-ms-mastita,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.Location:MastitaSCOPE OF THE JOB:The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results.KEY RESPONSIBILITIES:Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.Provide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers’ requests.Ensure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.Organize the stockroom related to the store to conserve high level of stock replenishment.Handle pricing (& Change of prices) process in an effective and accurate manner as required.Perform a smooth and efficient receiving process of items & shipments, as well as stock keeping preventing security risks and thefts by performing periodical inventories.Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterations.Participate in the inventory of products and report the end-of-day inventory status to Store Manager.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High School DegreeExperience:0 to 1 year of experience in the sales field.Linguistic Skills:Advanced in English & Arabic, French is a plus.Computer Skills:Good knowledge in Ms. Office. Department: Retail Job Status: Full Timer Working Hours: Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays. Location: Mastita SCOPE OF THE JOB: The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-09-11,
Sales Representative - MS Metro,https://huntinglebanese.com//en/careers/jobs/show/12944/sales-representative-ms-metro,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.Location:MetroSCOPE OF THE JOB:The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results.KEY RESPONSIBILITIES:Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.Provide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers’ requests.Ensure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.Organize the stockroom related to the store to conserve high level of stock replenishment.Handle pricing (& Change of prices) process in an effective and accurate manner as required.Perform a smooth and efficient receiving process of items & shipments, as well as stock keeping preventing security risks and thefts by performing periodical inventories.Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterations.Participate in the inventory of products and report the end-of-day inventory status to Store Manager.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High School DegreeExperience:0 to 1 year of experience in the sales field.Linguistic Skills:Advanced in English & Arabic, French is a plus.Computer Skills:Good knowledge in Ms. Office. Department: Retail Job Status: Full Timer Working Hours: Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays. Location: Metro SCOPE OF THE JOB: The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-09-11,
Sales Representative - MS Outlet Kaslik,https://huntinglebanese.com//en/careers/jobs/show/12942/sales-representative-ms-outlet-kaslik,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.Location:Outlet KaslikSCOPE OF THE JOB:The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results.KEY RESPONSIBILITIES:Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.Provide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers’ requests.Ensure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.Organize the stockroom related to the store to conserve high level of stock replenishment.Handle pricing (& Change of prices) process in an effective and accurate manner as required.Perform a smooth and efficient receiving process of items & shipments, as well as stock keeping preventing security risks and thefts by performing periodical inventories.Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterations.Participate in the inventory of products and report the end-of-day inventory status to Store Manager.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High School DegreeExperience:0 to 1 year of experience in the sales field.Linguistic Skills:Advanced in English & Arabic, French is a plus.Computer Skills:Good knowledge in Ms. Office. Department: Retail Job Status: Full Timer Working Hours: Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays. Location: Outlet Kaslik SCOPE OF THE JOB: The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-09-11,
Sales Representative - MS Zalka,https://huntinglebanese.com//en/careers/jobs/show/12940/sales-representative-ms-zalka,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.Location:ZalkaSCOPE OF THE JOB:The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results.KEY RESPONSIBILITIES:Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.Provide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers’ requests.Ensure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.Organize the stockroom related to the store to conserve high level of stock replenishment.Handle pricing (& Change of prices) process in an effective and accurate manner as required.Perform a smooth and efficient receiving process of items & shipments, as well as stock keeping preventing security risks and thefts by performing periodical inventories.Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterations.Participate in the inventory of products and report the end-of-day inventory status to Store Manager.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High School DegreeExperience:0 to 1 year of experience in the sales field.Linguistic Skills:Advanced in English & Arabic, French is a plus.Computer Skills:Good knowledge in Ms. Office. Department: Retail Job Status: Full Timer Working Hours: Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays. Location: Zalka SCOPE OF THE JOB: The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-09-11,
Accountant,https://huntinglebanese.com//en/careers/jobs/show/12932/accountant,Lebanon,Mike Sport,"Department:Accounting & FinanceJob Status:Full TimerWorking Hours:Monday till Friday from 9:00 am till 6:00 pmLocation:Head Office - ZalkaSCOPE OF THE JOB:The Accountant is responsible for providing proper book keeping and reconciling the books of account in order to support the effective provision of high quality accounting services across the business.KEY RESPONSIBILITIES:Process ledger and booking entries according to stated procedures so that all transactions are recorded in a timely and accurate manner.Identify, investigate and rectify routine errors and anomalies in input data in order to ensure accuracy of financial information.Analyze ledgers and accounts to allow the reconciliation of financial data according to stated schedules so that the company remains aware of its financial poison on an ongoing basis and statutory reports can be produced within legislative term limits.Prepare ledgers and accounts to allow the reconciliation of financial data according to stated schedules so that the company remains aware of its financial position on an ongoing basis and statutory reports can be produced within legislative time limits.Prepare reports from statistical and financial information according to stated schedules so that all required information is available for review in a timely manner.Prepare non-routine financial data as requested in order to support management decision-making.Monitor accounting procedural compliance by subordinates and employees in order to ensure that all systems are adhered to.Report major problems and areas of non-compliance to the hierarchy in order to ensure that high level of accounting management and control is maintained and that issues resolved in a timely manner.Respond to all inquiries of internal & external auditors.Ensure compliance of the company with the tax regulations and laws affecting the business and consult with auditors, in order to be up to date with newly published laws.Ensure that payments and other accounting/finance procedures are performed in compliance with agreements.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:Bachelor Degree in Business Administration with emphasis on Accounting.Experience:At least 3 to 4 years of experience in a similar Field.Linguistic Skills:Fluent in English.Computer Skills:Proficiency in MS Office. Department: Accounting & Finance Job Status: Full Timer Working Hours: Monday till Friday from 9:00 am till 6:00 pm Location: Head Office - Zalka SCOPE OF THE JOB: The Accountant is responsible for providing proper book keeping and reconciling the books of account in order to support the effective provision of high quality accounting services across the business. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Accounting / Finance,Employee,Full Time,2025-09-10,
Stock Controller- Sour,https://huntinglebanese.com//en/careers/jobs/show/12918/stock-controller-sour,Lebanon,Goldie Trading Company,A retail company is looking for a Stock Controller to join its branch in Sour.The ideal candidates are:- South Residents- Age +18 years old- Lebanese- Computer Literate- Can start immediately A retail company is looking for a Stock Controller to join its branch in Sour. The ideal candidates are:- South Residents- Age +18 years old- Lebanese- Computer Literate- Can start immediately,Accounting / Finance,Employee,Full Time,2025-09-03,
Chief Accountant,https://huntinglebanese.com//en/careers/jobs/show/12913/chief-accountant,Lebanon,TREX SARL,"Position OverviewThe Chief Accountant is responsible for overseeing the accounting operations of the organization, ensuring accuracy, compliance, and efficiency in financial reporting. This role leads the accounting team, manages financial processes, and provides strategic financial insights to support decision-making.Key ResponsibilitiesFinancial Management & ReportingSupervise and manage the day-to-day accounting operations, including accounts payable, accounts receivable, payroll, and general ledger.Prepare, review, and ensure timely submission of monthly, quarterly, and annual financial statements.Maintain compliance with local tax regulations, accounting standards, and statutory requirements.Coordinate internal and external audits, ensuring proper documentation and adherence to standards.Budgeting & ForecastingAssist in developing annual budgets, forecasts, and financial plans.Monitor budget performance and provide variance analysis with recommendations.Internal Controls & ComplianceImplement and monitor effective internal control systems to safeguard company assets.Ensure adherence to IFRS/GAAP or relevant accounting standards.Stay updated on changes in financial regulations and compliance requirements.Team Leadership & DevelopmentLead, mentor, and develop the accounting team to enhance performance and efficiency.Allocate tasks and ensure adherence to deadlines and quality standards.Process ImprovementIdentify opportunities for process optimization in financial reporting, automation, and cost efficiency.Collaborate with cross-functional teams to improve business performance through financial insights.Qualifications & SkillsBachelor’s degree in Accounting, Finance, or related field (Master’s or MBA preferred).Professional certification (e.g., CPA, ACCA, CMA, or equivalent) strongly preferred.Minimum 5 years of progressive chief accounting experience.Strong knowledge of accounting principles, tax laws, and financial regulations.Proficiency in accounting software (e.g., SAP, Oracle, QuickBooks, or equivalent) and MS Office Suite.Excellent analytical, problem-solving, and organizational skills.Strong leadership, communication, and interpersonal skills.High level of integrity, accuracy, and attention to detail. Position Overview The Chief Accountant is responsible for overseeing the accounting operations of the organization, ensuring accuracy, compliance, and efficiency in financial reporting. This role leads the accounting team, manages financial processes, and provides strategic financial insights to support decision-making. Key Responsibilities Financial Management & Reporting Supervise and manage the day-to-day accounting operations, including accounts payable, accounts receivable, payroll, and general ledger. Prepare, review, and ensure timely submission of monthly, quarterly, and annual financial statements. Maintain compliance with local tax regulations, accounting standards, and statutory requirements. Coordinate internal and external audits, ensuring proper documentation and adherence to standards. Budgeting & Forecasting Assist in developing annual budgets, forecasts, and financial plans. Monitor budget performance and provide variance analysis with recommendations. Internal Controls & Compliance Implement and monitor effective internal control systems to safeguard company assets. Ensure adherence to IFRS/GAAP or relevant accounting standards. Stay updated on changes in financial regulations and compliance requirements. Team Leadership & Development Lead, mentor, and develop the accounting team to enhance performance and efficiency. Allocate tasks and ensure adherence to deadlines and quality standards. Process Improvement Identify opportunities for process optimization in financial reporting, automation, and cost efficiency. Collaborate with cross-functional teams to improve business performance through financial insights. Qualifications & Skills Bachelor’s degree in Accounting, Finance, or related field (Master’s or MBA preferred). Professional certification (e.g., CPA, ACCA, CMA, or equivalent) strongly preferred. Minimum 5 years of progressive chief accounting experience. Strong knowledge of accounting principles, tax laws, and financial regulations. Proficiency in accounting software (e.g., SAP, Oracle, QuickBooks, or equivalent) and MS Office Suite. Excellent analytical, problem-solving, and organizational skills. Strong leadership, communication, and interpersonal skills. High level of integrity, accuracy, and attention to detail.",Accounting / Finance,Employee,Full Time,2025-09-02,
Accountant,https://huntinglebanese.com//en/careers/jobs/show/12912/accountant,Lebanon,Mike Sport,"Department:Accounting & FinanceJob Status:Full TimerWorking Hours:Monday till Friday from 9:00 am till 6:00 pmLocation:Head Office - ZalkaSCOPE OF THE JOB:The Accountant is responsible for providing proper book keeping and reconciling the books of account in order to support the effective provision of high quality accounting services across the business.KEY RESPONSIBILITIES:Process ledger and booking entries according to stated procedures so that all transactions are recorded in a timely and accurate manner.Identify, investigate and rectify routine errors and anomalies in input data in order to ensure accuracy of financial information.Analyze ledgers and accounts to allow the reconciliation of financial data according to stated schedules so that the company remains aware of its financial poison on an ongoing basis and statutory reports can be produced within legislative term limits.Prepare ledgers and accounts to allow the reconciliation of financial data according to stated schedules so that the company remains aware of its financial position on an ongoing basis and statutory reports can be produced within legislative time limits.Prepare reports from statistical and financial information according to stated schedules so that all required information is available for review in a timely manner.Prepare non-routine financial data as requested in order to support management decision-making.Monitor accounting procedural compliance by subordinates and employees in order to ensure that all systems are adhered to.Report major problems and areas of non-compliance to the hierarchy in order to ensure that high level of accounting management and control is maintained and that issues resolved in a timely manner.Respond to all inquiries of internal & external auditors.Ensure compliance of the company with the tax regulations and laws affecting the business and consult with auditors, in order to be up to date with newly published laws.Ensure that payments and other accounting/finance procedures are performed in compliance with agreements.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:Bachelor Degree in Business Administration with emphasis on Accounting.Experience:At least 3 to 4 years of experience in a similar Field.Linguistic Skills:Fluent in English.Computer Skills:Proficiency in MS Office. Department: Accounting & Finance Job Status: Full Timer Working Hours: Monday till Friday from 9:00 am till 6:00 pm Location: Head Office - Zalka SCOPE OF THE JOB: The Accountant is responsible for providing proper book keeping and reconciling the books of account in order to support the effective provision of high quality accounting services across the business. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Accounting / Finance,Employee,Full Time,2025-09-02,
HR Officer,https://huntinglebanese.com//en/careers/jobs/show/12897/hr-officer,Lebanon,Goldie Trading Company,A well-known retail company located in Beirut- Hamra is looking for a passionate HR officer to join its team.The ideal candidates are:Beirut ResidentsLebaneseBachelor degree in Business Administration or equivalent0-2 years of experienceAge: Between 22 and 30Can start immediately A well-known retail company located in Beirut- Hamra is looking for a passionate HR officer to join its team. The ideal candidates are:,Human Resources,Employee,Full Time,2025-08-27,
Sales Representative - MS Outlet Kaslik,https://huntinglebanese.com//en/careers/jobs/show/12888/sales-representative-ms-outlet-kaslik,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.Location:Outlet KaslikSCOPE OF THE JOB:The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results.KEY RESPONSIBILITIES:Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.Provide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers’ requests.Ensure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.Organize the stockroom related to the store to conserve high level of stock replenishment.Handle pricing (& Change of prices) process in an effective and accurate manner as required.Perform a smooth and efficient receiving process of items & shipments, as well as stock keeping preventing security risks and thefts by performing periodical inventories.Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterations.Participate in the inventory of products and report the end-of-day inventory status to Store Manager.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High School DegreeExperience:0 to 1 year of experience in the sales field.Linguistic Skills:Advanced in English & Arabic, French is a plus.Computer Skills:Good knowledge in Ms. Office. Department: Retail Job Status: Full Timer Working Hours: Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays. Location: Outlet Kaslik SCOPE OF THE JOB: The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-08-25,
Sales account manager,https://huntinglebanese.com//en/careers/jobs/show/12874/sales-account-manager,Lebanon,Globalcom Lebanon SAL,"Position OverviewWe are seeking a dynamic and motivated Sales Account Manager to oversee and develop sales within our retail channel. The ideal candidate will manage relationships with both organized retail partners and individual shops, driving growth and ensuring high product visibility and availability.⸻Key Responsibilities•             Manage a portfolio of retail accounts (organized and independent), ensuring targets are met and exceeded.•             Conduct regular field visits to clients for relationship management, order collection, merchandising support, and sales growth.•             Introduce and promote new products to clients and ensure proper placement and visibility.•             Analyze sales data, market trends, and competitor activity to identify business opportunities.•             Prepare and present weekly sales reports and forecasts.•             Follow up on receivables and ensure timely collection.•             Collaborate with internal teams to ensure proper stock availability, pricing strategies, and client support.•             Represent the company professionally at all times.⸻Requirements•             Minimum 2 years of experience in sales or account management, preferably in the consumer electronics or accessories field.•             Strong knowledge of mobile phone, computer, gaming, and camera accessories.•             Excellent communication and interpersonal skills.•             Proficient in Microsoft Office (Excel, Word, Outlook) and general use of Windows-based systems.•             Strong organizational and reporting skills.•             Must own a car and be willing to travel across regions.•             Ability to work independently and under pressure to meet sales targets.•             Fluent in Arabic, with good command of English or French Position Overview We are seeking a dynamic and motivated Sales Account Manager to oversee and develop sales within our retail channel. The ideal candidate will manage relationships with both organized retail partners and individual shops, driving growth and ensuring high product visibility and availability. ⸻ Key Responsibilities •             Manage a portfolio of retail accounts (organized and independent), ensuring targets are met and exceeded. •             Conduct regular field visits to clients for relationship management, order collection, merchandising support, and sales growth. •             Introduce and promote new products to clients and ensure proper placement and visibility. •             Analyze sales data, market trends, and competitor activity to identify business opportunities. •             Prepare and present weekly sales reports and forecasts. •             Follow up on receivables and ensure timely collection. •             Collaborate with internal teams to ensure proper stock availability, pricing strategies, and client support. •             Represent the company professionally at all times. ⸻ Requirements •             Minimum 2 years of experience in sales or account management, preferably in the consumer electronics or accessories field. •             Strong knowledge of mobile phone, computer, gaming, and camera accessories. •             Excellent communication and interpersonal skills. •             Proficient in Microsoft Office (Excel, Word, Outlook) and general use of Windows-based systems. •             Strong organizational and reporting skills. •             Must own a car and be willing to travel across regions. •             Ability to work independently and under pressure to meet sales targets. •             Fluent in Arabic, with good command of English or French",Sales,Employee,Full Time,2025-08-25,Negotiable
Social Media Specialist,https://huntinglebanese.com//en/careers/jobs/show/12872/social-media-specialist,Lebanon,Mike Sport,"Department:MarketingJob Status:Full TimerWorking Hours:Monday till Friday from 9:00 am till 6:00 pm – Attend Events even on weekendsLocation:Head Office - ZalkaSCOPE OF THE JOB:The Social Media Specialist is responsible for managing and enhancing our social media channels, with a focus on content creation. This role requires a creative individual who can develop engaging content, analyze performance metrics, and collaborate with various teams to support our brand’s objectives.KEY RESPONSIBILITIESContent Creation and Editing:Develop, write, and edit engaging content for various social media platforms including Facebook, Instagram and LinkedInCreate visually appealing graphics, videos, and other multimedia content that aligns with our brand’s voice and marketing objectives.Maintain consistency in tone, style, and quality across all content.Social Media Management:Plan and schedule posts across multiple social media platforms to ensure timely and effective content delivery.Monitor social media channels for comments, messages, and engagement, and respond appropriately to build relationships with our audience.Strategy and Analytics:Assist in developing social media strategies that align with marketing goals and objectives.Analyze performance metrics and generate reports to track the effectiveness of social media campaigns and content.Utilize insights to optimize future content and strategies.Collaboration:Work closely with the marketing team to align social media efforts with overall marketing campaigns and initiatives.Collaborate with other departments to gather content ideas and ensure brand consistency across all channels.Trend Monitoring:Stay up-to-date with the latest social media trends, tools, and best practices to keep our content relevant and innovative.Experiment with new approaches and techniques to improve engagement and reach.Perform other duties that are aligned & related to the job scope.Desired Skills:Ability to work independently as well as part of a team in a fast-paced environment.Creative thinking and problem-solving skills with a passion for social media and digital marketing.Proficiency with graphic design and video editing tools (e.g., Adobe Creative Suite, Canva, etc.) Love and knowledge about different sports and sports events is preferred.JOB REQUIREMENTS:Education:Bachelor Degree in Marketing, Communications, Journalism, or a related field.Experience:2 to 3 years of proven experience in Social Media management including Facebook, Instagram, Twitter, LinkedIn, and TikTok., content creation, and editing.Linguistic Skills:Fluency in English, French is a plus.Computer Skills:Experience with social media analytics tools. Department: Marketing Job Status: Full Timer Working Hours: Monday till Friday from 9:00 am till 6:00 pm – Attend Events even on weekends Location: Head Office - Zalka SCOPE OF THE JOB: The Social Media Specialist is responsible for managing and enhancing our social media channels, with a focus on content creation. This role requires a creative individual who can develop engaging content, analyze performance metrics, and collaborate with various teams to support our brand’s objectives. KEY RESPONSIBILITIES Content Creation and Editing: Social Media Management: Strategy and Analytics: Collaboration: Trend Monitoring: Perform other duties that are aligned & related to the job scope. Desired Skills: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-08-25,
